date,amount,post_val,round,about
2019-10-13,18.17371722850954,198.5858324934934,天使轮,过2.8万美元
2020-04-11,38.15898647026056,212.77030009198842,pre-种子轮,近40万元人民币
2022-03-05,44.066828851267104,233.44029295264357,种子轮,未公开
2022-03-07,1.0,233.67731124770788,check轮,未公开
2007-07-17,22.37527126093865,197.2743575227323,天使轮,22.4万元人民币
2008-03-11,23.46213158996976,225.51833682202047,种子轮,数十万元人民币
2010-11-06,33.59225319507823,247.40724833770736,众筹轮,33.59万元人民币
2013-11-25,36.32607148431222,189.98414294026966,众筹+轮,未披露
2014-02-12,25.8186988208508,255.66336630077296,众筹++轮,未公开
2015-09-30,126.12085520854924,1245.5857007748045,A轮,近20万美元
2015-10-14,79.44011534943901,1468.9088819782253,B轮,79.44万元人民币
2017-05-11,117.71424302851017,3334.8897031449446,C轮,18.4万美元
2018-09-03,122.81837273798924,4723.410052614338,D轮,超120万元人民币
2018-09-10,149.63000039777168,4998.638125517285,pre-E轮,149.6万元人民币
2018-11-30,78.21544151132093,5782.238929080282,E轮,超12万美元
2021-06-16,286.2055311288903,6235.390157033215,F轮,44.7万美元
2021-12-28,1.0,6893.883013071794,check轮,逾1万元人民币
2016-01-31,65.48208919141724,342.15965348693976,天使轮,数十万元人民币
2017-12-08,30.578781081710755,316.9338317798725,种子轮,未披露
2021-02-06,45.25339621421679,308.02757597768704,众筹轮,未公开
2021-03-21,39.28990061944037,466.9300936397953,A轮,数十万元人民币
2021-08-01,34.05578889748902,660.998676235816,B轮,逾5万美元
2023-04-28,1.0,1980.4634927255877,check轮,近0.2万美元
2004-03-18,5.976077218003089,45.610626637067206,天使轮,逾0.9万美元
2004-06-27,9.721812944645697,69.45115793527948,天使+轮,过9.7万元人民币
2006-09-27,19.63463373075441,100.71879987701637,天使++轮,数万美元
2006-11-07,20.798247948170662,114.5055607587533,种子轮,20.8万元人民币
2006-12-07,16.733966862990233,125.81896739725023,众筹轮,3万美元
2010-07-01,16.073642164617414,425.5502344736916,A轮,过16万元人民币
2010-08-24,74.25980806555022,638.0095945115509,A+轮,过70万元人民币
2011-04-18,134.95098207086264,1811.272103408026,A++轮,未公开
2012-10-26,236.10986264029654,2244.2310290613373,B轮,236万元人民币
2013-09-25,168.72098023233994,4145.910437542963,pre-C轮,169万元人民币
2014-05-05,208.0345376125683,9155.213800373554,C轮,逾30万美元
2017-09-10,718.3135867747554,12583.874154731973,C+轮,近720万元人民币
2017-12-24,1194.0099080991863,13518.75584193685,D轮,超1000万元人民币
2018-03-29,1130.0321877077622,18973.587354157247,E轮,未披露
2019-07-06,1244.3718222196055,26370.533164918794,E+轮,逾1200万元人民币
2020-06-21,2567.4834899844236,51099.18579615903,E++轮,数百万美元
2021-01-04,2333.4469293953266,48941.4398468733,F轮,2333万元人民币
2021-03-06,2083.7420312762833,53326.24723406246,F+轮,数百万美元
2021-05-24,3609.766127572621,63642.437408254744,F++轮,未披露
2022-02-16,1.0,90498.47459166318,check轮,超1万元人民币
2018-01-09,0.4968556407872528,4.769702056614761,天使轮,0.08万美元
2018-08-31,1.14444203492877,6.639940468597537,种子轮,1.1万元人民币
2019-03-16,1.6241228408081168,8.601265689810116,种子+轮,近2万元人民币
2020-05-19,2.7517907908411874,15.769508509141284,众筹轮,数万元人民币
2020-09-07,2.973823681285985,31.150045491728967,A轮,未披露
2020-10-22,4.609789388112209,37.95499438131698,B轮,逾4.6万元人民币
2022-10-26,7.732304668159399,97.88853659889295,C轮,7.7万元人民币
2022-12-04,1.0,125.17696585115984,check轮,未公开
2014-10-10,33.900601519715195,193.96335524756657,天使轮,近34万元人民币
2014-11-01,39.63975641728354,236.64908357410883,天使+轮,近40万元人民币
2017-03-14,62.15112109520673,316.0105878945608,种子轮,未公开
2017-06-13,58.04086778789307,363.1212908742617,种子+轮,58.0万元人民币
2020-08-30,89.41987934229958,620.3646977112173,种子++轮,89万元人民币
2021-11-18,64.32399697893153,698.6693417440341,众筹轮,10.1万美元
2022-06-06,1.0,962.6949011907609,check轮,1.00万元人民币
2003-01-14,9.73907917785295,59.628623173416386,pre-天使轮,近2万美元
2003-07-23,8.494337903151818,85.1409646097219,天使轮,过1万美元
2003-09-19,21.47174848303595,108.23906772671279,pre-种子轮,未公开
2004-01-14,14.067674540936338,126.7106051888659,种子轮,数万美元
2006-03-02,48.827139072213875,267.9022720472402,种子+轮,48.8万元人民币
2006-09-12,60.218865504766114,365.8436409266321,种子++轮,未公开
2007-11-20,80.26717286165643,574.5771830564139,种子3轮,逾10万美元
2009-02-25,191.57127507204268,1010.5116639906316,pre-众筹轮,未披露
2009-09-11,302.9233811261947,1539.0646500058372,众筹轮,数百万元人民币
2010-02-04,331.8299622223979,2557.638255567301,众筹+轮,未公开
2012-06-02,418.6846305848852,3136.629954524532,众筹++轮,65.42万美元
2012-06-18,649.1531952977606,4035.7608629535503,众筹3轮,101.43万美元
2013-08-28,707.2595063458824,9009.214180183913,A轮,未公开
2014-03-12,1424.6967908356412,16537.575183234912,B轮,逾1000万元人民币
2014-07-07,1621.570645109988,22388.6843218182,pre-C轮,未公开
